SITE_ID,day_group,year,LATITUDE_x,LONGITUDE_x,srad_mean,tmmn_mean,tmmx_mean,vpd_mean,Fpar_500m_mean,Lai_500m_mean,ee_elevation_mean,elevation_diff_mean,water_mean_mean,trees_mean_mean,grass_mean_mean,flooded_vegetation_mean_mean,crops_mean_mean,shrub_and_scrub_mean_mean,built_mean_mean,bare_mean_mean,snow_and_ice_mean_mean,label_mean_mean,label_argmax_numeric_mean,GPP_mean,GPP_sum
US-Ro5,23,2019,44.691,-93.0576,279.124994275,291.67500305,301.5,0.8399999961,58.58035714,16.07562392,283.4477213,0.447721300000012,0.06493410167,0.03499270895,0.1054239964,0.02957476556,0.5049760572,0.04097341203,0.05002122822,0.1078840999,0.06118121444,4.597727746,4.0,0.0,0.0
US-Ro5,23,2020,44.691,-93.0576,300.1000022875,293.7875022875,304.9000053375,1.2074999959,69.26516781625,21.86112306375,283.4477213,0.447721300000012,0.03971006413,0.07458389361,0.1265975085,0.02721220372,0.5456690534,0.04284408717,0.04212680069,0.06134103981,0.03987631013,3.933486734,4.0,0.0,0.0
US-Ro5,23,2021,44.691,-93.0576,281.5624980875,289.36250305,300.275001525,1.1337500028375,68.06013339375001,20.3681153175,283.4477213,0.447721300000012,0.03458014088,0.04485126984,0.09333828456,0.02939715302,0.6250023981,0.03705147163,0.03581493669,0.06119258332,0.03873424249,4.0,4.0,0.0,0.0
US-Ro5,24,2017,44.691,-93.0576,304.2874946625,289.42500305,301.849998475,0.8637500033000001,67.07379517625,20.36919104625,283.4477213,0.447721300000012,0.03340051039,0.06122138652,0.09889372306,0.02977435751,0.626162686,0.03220672863,0.03804124724,0.04381369589,0.03644822817,4.0,4.0,0.0,0.0
US-Ro5,24,2018,44.691,-93.0576,286.162500375,291.049995425,302.8875007625,0.9925000070625,69.46417813875,22.0552926025,283.4477213,0.447721300000012,0.04684766721,0.1425011642,0.08523099082,0.0281304886,0.5333043814,0.03157548196,0.04413836505,0.0478515608,0.04038113383,3.751918505,4.0,887.760024558375,7102.080196467
US-Ro5,24,2019,44.691,-93.0576,285.1874980875,292.124992375,302.525001525,0.783750008775,65.5055938025,19.7912005175,283.4477213,0.447721300000012,0.06493410167,0.03499270895,0.1054239964,0.02957476556,0.5049760572,0.04097341203,0.05002122822,0.1078840999,0.06118121444,4.597727746,4.0,0.0,0.0
US-Ro5,24,2020,44.691,-93.0576,280.3125,289.287498475,300.7500038125,0.8412500079,84.51000430375,35.95836919125,283.4477213,0.447721300000012,0.03971006413,0.07458389361,0.1265975085,0.02721220372,0.5456690534,0.04284408717,0.04212680069,0.06134103981,0.03987631013,3.933486734,4.0,0.0,0.0
US-Ro5,24,2021,44.691,-93.0576,294.4124965625,287.63749695,300.5125007625,1.1387499907375,73.14597676375,24.158240105,283.4477213,0.447721300000012,0.03458014088,0.04485126984,0.09333828456,0.02939715302,0.6250023981,0.03705147163,0.03581493669,0.06119258332,0.03873424249,4.0,4.0,0.0,0.0
US-Ro5,25,2017,44.691,-93.0576,276.212499625,290.07499695,301.38749695,0.672499995675,62.95331324875,19.01258606125,283.4477213,0.447721300000012,0.03340051039,0.06122138652,0.09889372306,0.02977435751,0.626162686,0.03220672863,0.03804124724,0.04381369589,0.03644822817,4.0,4.0,0.0,0.0
US-Ro5,25,2018,44.691,-93.0576,251.9500026625,289.3125,300.17500305,0.831249997025,84.09401893,38.0522805475,283.4477213,0.447721300000012,0.04684766721,0.1425011642,0.08523099082,0.0281304886,0.5333043814,0.03157548196,0.04413836505,0.0478515608,0.04038113383,3.751918505,4.0,861.6773896306249,6893.419117044999
US-Ro5,25,2019,44.691,-93.0576,280.5,289.875,301.3750038125,0.775000013325,74.307336485,25.79464286,283.4477213,0.447721300000012,0.06493410167,0.03499270895,0.1054239964,0.02957476556,0.5049760572,0.04097341203,0.05002122822,0.1078840999,0.06118121444,4.597727746,4.0,0.0,0.0
US-Ro5,25,2020,44.691,-93.0576,289.2124977125,290.05000305,301.71250533750003,0.808749999875,81.6254302925,35.07067555625,283.4477213,0.447721300000012,0.03971006413,0.07458389361,0.1265975085,0.02721220372,0.5456690534,0.04284408717,0.04212680069,0.06134103981,0.03987631013,3.933486734,4.0,0.0,0.0
US-Ro5,25,2021,44.691,-93.0576,283.5625019125,291.5124931375,304.487495425,1.77875001725,64.1015490575,18.88080894625,283.4477213,0.447721300000012,0.03458014088,0.04485126984,0.09333828456,0.02939715302,0.6250023981,0.03705147163,0.03581493669,0.06119258332,0.03873424249,4.0,4.0,0.0,0.0
US-Ro5,26,2017,44.691,-93.0576,270.11249733750003,288.6499977125,301.0374946625,0.9475000165625,76.47633391,27.99601979,283.4477213,0.447721300000012,0.03340051039,0.06122138652,0.09889372306,0.02977435751,0.626162686,0.03220672863,0.03804124724,0.04381369589,0.03644822817,4.0,4.0,0.0,0.0
US-Ro5,26,2018,44.691,-93.0576,255.075002675,286.6749992375,298.875,0.8412500024,83.97773235375,34.55604561375,283.4477213,0.447721300000012,0.04684766721,0.1425011642,0.08523099082,0.0281304886,0.5333043814,0.03157548196,0.04413836505,0.0478515608,0.04038113383,3.751918505,4.0,785.863555901125,6286.908447209
US-Ro5,26,2019,44.691,-93.0576,257.1000022875,288.6875038125,299.8875007625,0.7912500016375,76.54593373625,25.99870912625,283.4477213,0.447721300000012,0.06493410167,0.03499270895,0.1054239964,0.02957476556,0.5049760572,0.04097341203,0.05002122822,0.1078840999,0.06118121444,4.597727746,4.0,0.0,0.0
