,SITE_ID,LULC,LATITUDE,LONGITUDE,ELEVATION
331,US-Var,GRA,38.4133,-120.9508,129.0
332,US-Vcm,ENF,35.8884,-106.5321,3016.5
333,US-Vcm,ENF,35.8884,-106.5321,3016.5
334,US-Vcp,ENF,35.863299999999995,-106.59705,2521.0
335,US-Vcp,ENF,35.863299999999995,-106.59705,2521.0
336,US-Vcs,ENF,35.9193,-106.6142,2752.0
337,US-WCr,DBF,45.8059,-90.0799,520.0
338,US-Whs,OSH,31.7438,-110.0522,1370.0
339,US-Wi0,ENF,46.6188,-91.0814,349.0
340,US-Wi1,DBF,46.7305,-91.2329,352.0
341,US-Wi2,ENF,46.6869,-91.1528,395.0
342,US-Wi3,DBF,46.6347,-91.0987,411.0
343,US-Wi4,ENF,46.7393,-91.1663,352.0
344,US-Wi5,ENF,46.6531,-91.0858,353.0
345,US-Wi6,OSH,46.6249,-91.2982,371.0
346,US-Wi7,OSH,46.6491,-91.0693,335.0
347,US-Wi8,DBF,46.7223,-91.2524,348.0
348,US-Wi9,ENF,46.7385,-91.0746,350.0
349,US-Wjs,SAV,34.4255,-105.8615,1931.0
350,US-Wkg,GRA,31.7365,-109.9419,1531.0
351,US-Wlr,GRA,37.5208,-96.855,408.0
352,US-WPT,WET,41.4646,-82.9962,175.0
353,US-Wrc,ENF,45.8205,-121.9519,371.0
354,US-xAB,ENF,45.7624,-122.3303,363.0
355,US-xAE,GRA,35.4106,-99.0588,516.0
356,US-xBA,WET,71.2824,-156.6194,6.0
357,US-xBL,DBF,39.0603,-78.0716,183.0
358,US-xBN,ENF,65.154,-147.5026,263.0
359,US-xBR,DBF,44.0639,-71.2873,232.0
360,US-xCL,GRA,33.4012,-97.57,259.0
361,US-xCP,GRA,40.8155,-104.7456,1654.0
362,US-xDC,GRA,47.1617,-99.1066,559.0
363,US-xDJ,ENF,63.8811,-145.7514,529.0
364,US-xDL,MF,32.5417,-87.8039,22.0
365,US-xDS,CVM,28.125,-81.4362,15.0
366,US-xGR,DBF,35.689,-83.5019,579.0
367,US-xHA,DBF,42.5369,-72.1727,351.0
368,US-xHE,OSH,63.8757,-149.2133,705.0
369,US-xJE,ENF,31.1948,-84.4686,44.0
370,US-xJR,OSH,32.5907,-106.8425,1329.0
371,US-xKA,GRA,39.1104,-96.6129,1329.0
372,US-xKZ,GRA,39.1008,-96.5631,381.0
373,US-xLE,DBF,31.8539,-88.1612,20.0
374,US-xMB,OSH,38.2483,-109.3883,1767.0
375,US-xML,DBF,37.3783,-80.5248,1126.0
376,US-xNG,GRA,46.7697,-100.9154,578.0
377,US-xNQ,OSH,40.1776,-112.4524,1685.0
378,US-xNW,ENF,40.0543,-105.5824,3513.0
379,US-xPU,EBF,19.5531,-155.3173,1685.0
380,US-xRM,ENF,40.2759,-105.5459,2743.0
381,US-xRN,DBF,35.9641,-84.2826,334.0
382,US-xSB,ENF,29.6893,-81.9934,45.0
383,US-xSC,DBF,38.8929,-78.1395,361.0
384,US-xSE,DBF,38.8901,-76.56,15.0
385,US-xSJ,SAV,37.1088,-119.7323,368.0
386,US-xSL,CRO,40.4619,-103.0293,1364.0
387,US-xSP,ENF,37.0334,-119.2622,1160.0
388,US-xSR,OSH,31.9107,-110.8355,983.0
389,US-xST,DBF,45.5089,-89.5864,481.0
390,US-xTA,ENF,32.9505,-87.3933,135.0
391,US-xTE,ENF,37.0058,-119.006,2147.0
392,US-xTL,WET,68.6611,-149.3705,843.0
393,US-xTR,DBF,45.4937,-89.5857,472.0
394,US-xUK,DBF,39.0404,-95.1921,335.0
395,US-xUN,MF,46.2339,-89.5373,518.0
396,US-xWD,GRA,47.1282,-99.2414,579.0
397,US-xWR,ENF,45.8205,-121.9519,407.0
398,US-xYE,ENF,44.9535,-110.5391,2116.0
399,US-YK1,WET,61.2723,-163.2228,15.0
400,US-YK2,WET,61.2548,-163.259,15.0
