SITE_ID,START_DATE,END_DATE,water_mean,trees_mean,grass_mean,flooded_vegetation_mean,crops_mean,shrub_and_scrub_mean,built_mean,bare_mean,snow_and_ice_mean,label_mean,EXTENDED_END_DATE
US-Me6,2019-9-1,2019-11-30,0.03079917073,0.4778166886,0.02781069234,0.02905805785,0.03313572561,0.2245181634,0.03845429707,0.04225498371,0.09611461443,1.70032654,
US-UMd,2020-6-1,2020-8-31,0.03084426856,0.7363589158,0.03572025896,0.02835482647,0.03011834754,0.03889115219,0.03059963763,0.03629348087,0.0327836516,1,
US-Los,2019-6-1,2019-8-31,0.03087139857,0.4110852875,0.2709143001,0.03125985214,0.03839087942,0.1173633838,0.0321922609,0.03378632621,0.03409837068,1.502743129,
US-Ton,2017-9-1,2017-11-30,0.03089799692,0.405904563,0.03403687357,0.02743932185,0.0387775297,0.3095100818,0.03790043114,0.07574336841,0.03975123301,2.589892142,
US-Ro2,2016-9-1,2016-11-30,0.03091342476,0.05295990921,0.3838128687,0.03814619833,0.3429401376,0.04875061932,0.04152182349,0.02765586013,0.03325997266,3,
US-Ton,2021-3-2,2021-5-31,0.030915823,0.46615606,0.04429109931,0.0207847383,0.04963314534,0.2711088127,0.0325652754,0.05176942286,0.03273714222,1.162132512,
US-UMd,2018-6-1,2018-8-31,0.03092339377,0.7374884383,0.03463467111,0.02822247586,0.03079650176,0.03778831733,0.03105720016,0.03602389846,0.03302970064,1,
US-Ro4,2017-6-1,2017-8-31,0.03092502513,0.1763469487,0.4228701084,0.03712543641,0.1499263351,0.09216255442,0.03623625305,0.02563152147,0.02873616295,1.852975241,
US-Me2,2017-3-2,2017-5-31,0.03096391447,0.6872973771,0.03206808303,0.02156612485,0.03090855704,0.08985655727,0.03874243091,0.04203602001,0.0265240995,1,
US-CMW,2017-9-1,2017-11-30,0.03104460728,0.6559720138,0.03402401559,0.02300857653,0.03506183856,0.1212944704,0.03103595917,0.04186499043,0.02665674076,1,
US-LS2,2016-6-1,2016-8-31,0.03105797763,0.3355507313,0.04629214051,0.0378977379,0.0990393029,0.3316290654,0.03506351251,0.05474390563,0.02868605738,2.813650924,
US-Snf,2018-6-1,2018-8-31,0.03109122878,0.04375401117,0.2047432315,0.04536541403,0.3341180388,0.1149007681,0.08644082355,0.0910435122,0.04850149088,3.770345796,
US-Bi1,2019-6-1,2019-8-31,0.03110266617,0.1050348215,0.2728001487,0.03386274436,0.3781652885,0.04736077644,0.04324800647,0.04608883399,0.04229715499,3.141624355,
US-CMW,2020-9-1,2020-11-30,0.03110652789,0.6117648509,0.03537794364,0.02386978799,0.04087440888,0.1553933302,0.03032737887,0.04442493963,0.02682330702,1.079973617,
US-ICs,2020-6-1,2020-8-31,0.03111209921,0.1152080489,0.2313293272,0.04674336295,0.04516212837,0.3454762658,0.03499820881,0.1208053052,0.02912476741,4.292998699,
