system:index,ZCTA5CE10,.geo
00000000000000000090,99773,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,99774,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,99776,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,99777,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,99780,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,99782,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,99786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,99788,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,99789,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,99790,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,99791,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,99801,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,99820,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,99824,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,99829,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,99836,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,99840,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,99901,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,99903,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,99918,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,99919,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,99922,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,99923,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,99830,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,99833,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,99835,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,99925,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,99926,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,99929,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,97002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,97004,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,97009,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,97013,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,97015,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,97016,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,97017,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,97018,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,97019,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,97022,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,97026,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,97027,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,97030,"{""type"":""MultiPoint"",""coordinates"":[]}"
