,index,NAME,result,year,0,1,2,3,4,5,6,7,8,9,10
30,30,San Mateo,"[{""change"":0,""sum"":1.156678314772171E9},{""change"":1,""sum"":1.0626490493965149E7},{""change"":2,""sum"":1990524.8465423584},{""change"":3,""sum"":100369.70971679688},{""change"":4,""sum"":1293437.2210769653},{""change"":5,""sum"":1198251.2601470947},{""change"":6,""sum"":1493158.527770996},{""change"":7,""sum"":349453.09923553467},{""change"":8,""sum"":600.4224624633789},{""change"":9,""sum"":225863.64447021484},{""change"":10,""sum"":592628.043258667}]",2017,1156678314.772171,10626490.493965149,1990524.8465423584,100369.70971679688,1293437.2210769653,1198251.2601470947,1493158.527770996,349453.09923553467,600.4224624633789,225863.64447021484,592628.043258667
31,31,Santa Clara,"[{""change"":0,""sum"":3.3031807126754074E9},{""change"":1,""sum"":2.0308180024482727E7},{""change"":2,""sum"":1.6944442526657104E7},{""change"":3,""sum"":164081.64714813232},{""change"":4,""sum"":9543523.910339355},{""change"":5,""sum"":3121787.995941162},{""change"":6,""sum"":2438572.2738342285},{""change"":7,""sum"":2039395.2685928345},{""change"":8,""sum"":68543.30542755127},{""change"":9,""sum"":1864421.0621032715},{""change"":10,""sum"":1545277.330154419}]",2017,3303180712.6754074,20308180.024482727,16944442.526657104,164081.64714813232,9543523.910339355,3121787.995941162,2438572.2738342285,2039395.2685928345,68543.30542755127,1864421.0621032715,1545277.330154419
32,32,Santa Cruz,"[{""change"":0,""sum"":1.1339663395477753E9},{""change"":1,""sum"":4866115.1876068115},{""change"":2,""sum"":1744270.2278900146},{""change"":3,""sum"":300.16761016845703},{""change"":4,""sum"":5349629.439468384},{""change"":5,""sum"":629448.9872283936},{""change"":6,""sum"":3973266.1550750732},{""change"":7,""sum"":362198.4422683716},{""change"":8,""sum"":800.3993682861328},{""change"":9,""sum"":4418281.52456665},{""change"":10,""sum"":444054.02994537354}]",2017,1133966339.5477753,4866115.1876068115,1744270.2278900146,300.16761016845703,5349629.439468384,629448.9872283936,3973266.1550750732,362198.4422683716,800.3993682861328,4418281.52456665,444054.02994537354
33,33,Shasta,"[{""change"":0,""sum"":9.895132778391846E9},{""change"":1,""sum"":2.744783715410614E7},{""change"":2,""sum"":2.3023679924812317E7},{""change"":3,""sum"":95145.56798553467},{""change"":4,""sum"":2631741.9735946655},{""change"":5,""sum"":4477144.7462768555},{""change"":6,""sum"":5290115.773796082},{""change"":7,""sum"":1389733.3967819214},{""change"":8,""sum"":20307.007064819336},{""change"":9,""sum"":489163.0092010498},{""change"":10,""sum"":4743897.242698669}]",2017,9895132778.391846,27447837.15410614,23023679.924812317,95145.56798553467,2631741.9735946655,4477144.7462768555,5290115.773796082,1389733.3967819214,20307.007064819336,489163.0092010498,4743897.242698669
34,34,Sierra,"[{""change"":0,""sum"":2.4857157080947266E9},{""change"":1,""sum"":932660.8949737549},{""change"":2,""sum"":209871.6505279541},{""change"":3,""sum"":75366.01860809326},{""change"":4,""sum"":502605.8173522949},{""change"":5,""sum"":1229131.951927185},{""change"":6,""sum"":436068.7063446045},{""change"":7,""sum"":236647.3391418457},{""change"":8,""sum"":28785.770278930664},{""change"":9,""sum"":651875.835975647},{""change"":10,""sum"":1977967.2144699097}]",2017,2485715708.0947266,932660.8949737549,209871.6505279541,75366.01860809326,502605.8173522949,1229131.951927185,436068.7063446045,236647.3391418457,28785.770278930664,651875.835975647,1977967.2144699097
35,35,Solano,"[{""change"":0,""sum"":2.1310992279285126E9},{""change"":1,""sum"":1.2273345535240173E7},{""change"":2,""sum"":1.754749769403839E7},{""change"":3,""sum"":528219.0122680664},{""change"":4,""sum"":1.2530466861160278E7},{""change"":5,""sum"":7613736.711799622},{""change"":6,""sum"":2505029.969055176},{""change"":7,""sum"":4007840.9710617065},{""change"":8,""sum"":760824.2884597778},{""change"":9,""sum"":4965060.63822937},{""change"":10,""sum"":3415271.5809631348}]",2017,2131099227.9285126,12273345.535240173,17547497.69403839,528219.0122680664,12530466.861160278,7613736.711799622,2505029.969055176,4007840.9710617065,760824.2884597778,4965060.63822937,3415271.5809631348
36,36,Sonoma,"[{""change"":0,""sum"":4.043692434005478E9},{""change"":1,""sum"":2.3765591958213806E7},{""change"":2,""sum"":1.5778175989059448E7},{""change"":3,""sum"":230574.76878356934},{""change"":4,""sum"":1.3829545465286255E7},{""change"":5,""sum"":4756621.617141724},{""change"":6,""sum"":5639612.344970703},{""change"":7,""sum"":3153460.39238739},{""change"":8,""sum"":42531.47091674805},{""change"":9,""sum"":2150370.5417175293},{""change"":10,""sum"":2281371.0478897095}]",2017,4043692434.005478,23765591.958213806,15778175.989059448,230574.76878356934,13829545.465286255,4756621.617141724,5639612.344970703,3153460.39238739,42531.47091674805,2150370.5417175293,2281371.0478897095
37,37,Stanislaus,"[{""change"":0,""sum"":3.718157653630806E9},{""change"":1,""sum"":1.313734985597229E7},{""change"":2,""sum"":1.1587369899243164E8},{""change"":3,""sum"":265738.1216430664},{""change"":4,""sum"":3.2160139374183655E7},{""change"":5,""sum"":2.0839464137695312E7},{""change"":6,""sum"":4402329.396224976},{""change"":7,""sum"":1299612.357749939},{""change"":8,""sum"":90612.91482543945},{""change"":9,""sum"":1.4161899497940063E7},{""change"":10,""sum"":1578366.5607757568}]",2017,3718157653.630806,13137349.85597229,115873698.99243164,265738.1216430664,32160139.374183655,20839464.137695312,4402329.396224976,1299612.357749939,90612.91482543945,14161899.497940063,1578366.5607757568
38,38,Sutter,"[{""change"":0,""sum"":1.5537249364298553E9},{""change"":1,""sum"":5632798.371795654},{""change"":2,""sum"":2246472.3256988525},{""change"":3,""sum"":107252.94258117676},{""change"":4,""sum"":9529497.303627014},{""change"":5,""sum"":596082.7273101807},{""change"":6,""sum"":246014.2604522705},{""change"":7,""sum"":599684.9504776001},{""change"":8,""sum"":11404.974685668945},{""change"":9,""sum"":3171722.790161133},{""change"":10,""sum"":122256.7649307251}]",2017,1553724936.4298553,5632798.371795654,2246472.3256988525,107252.94258117676,9529497.303627014,596082.7273101807,246014.2604522705,599684.9504776001,11404.974685668945,3171722.790161133,122256.7649307251
39,39,Tehama,"[{""change"":0,""sum"":7.589468397114372E9},{""change"":1,""sum"":1.4174384158729553E7},{""change"":2,""sum"":4.326968442223358E7},{""change"":3,""sum"":8205.708335876465},{""change"":4,""sum"":6533148.856658936},{""change"":5,""sum"":4100943.8706436157},{""change"":6,""sum"":3121429.457473755},{""change"":7,""sum"":4872002.510902405},{""change"":8,""sum"":3402.314483642578},{""change"":9,""sum"":3263738.952064514},{""change"":10,""sum"":3178314.737915039}]",2017,7589468397.114372,14174384.158729553,43269684.42223358,8205.708335876465,6533148.856658936,4100943.8706436157,3121429.457473755,4872002.510902405,3402.314483642578,3263738.952064514,3178314.737915039
